# CSV-File created with merge-csv.com,,,,,,
title, link ,,lat,lon,,
Hawaii State Public Library System,http://hawaii.sdp.sirsi.net/custom/web/,HI,21.094318,-157.498337,,
Algonquin Area Public Library District,http://www.aapld.org/,IL,40.349457,-88.986137,,
Allerton Public Library,http://www.lincolntrail.info/mon.html,IL,40.349457,-88.986137,,
Aurora Public Library,http://www.aurorapubliclibrary.org/,IL,40.349457,-88.986137,,
Charleston Carnegie Public Library,http://www.charlestonlibrary.org/,IL,40.349457,-88.986137,,
Eldorado Memorial Public Library District,http://www.eldorado.lib.il.us/,IL,40.349457,-88.986137,,
New Athens District Library,http://www.newathens.lib.il.us/,IL,40.349457,-88.986137,,
North Riverside Public Library,http://www.northriversidelibrary.org/,IL,40.349457,-88.986137,,
North Suburban Library District,http://www.northsuburbanlibrary.org/,IL,40.349457,-88.986137,,
Roxana Public Library District,http://www.roxanalibrary.org/,IL,40.349457,-88.986137,,
Acorn Public Library,http://www.acornlibrary.org/,IL,40.349457,-88.986137,,
Alpha Park Library,http://www.alphapark.org/,IL,40.349457,-88.986137,,
Alsip-Merrionette Park Public Library District,http://www.alsiplibrary.net/,IL,40.349457,-88.986137,,
Altamont Public Library,http://www.altamontpubliclibrary.com/,IL,40.349457,-88.986137,,
Andalusia Township Library A,http://andalusialibrary.org/,IL,40.349457,-88.986137,,
Antioch District Public Library,http://antiochdistrictlibrary.org/,IL,40.349457,-88.986137,,
Arcola Public Library i,http://www.lincolntrail.info/aan.html,IL,40.349457,-88.986137,,
Arlington Heights Memorial Library,http://ahml.info/,IL,40.349457,-88.986137,,
Arthur Public Library District,http://www.lincolntrail.info/arn.html,IL,40.349457,-88.986137,,
Atwood-Hammond Public Library District,http://www.ahlibrary.com/,IL,40.349457,-88.986137,,
Auburn Public Library.,http://www.auburn.lib.il.us/,IL,40.349457,-88.986137,,
Barclay Public Library District,http://www.decaturnet.org/barclaypubliclibrary/,IL,40.349457,-88.986137,,
Barrington Area Library,http://www.barringtonarealibrary.org/,IL,40.349457,-88.986137,,
Bartlett Public Library,http://www.village.bartlett.il.us/library.html,IL,40.349457,-88.986137,,
Bartlett Public Library District,http://www.bartlett.lib.il.us/,IL,40.349457,-88.986137,,
Batavia Public Library,http://www.dupagels.lib.il.us/pages/members.html,IL,40.349457,-88.986137,,
Beardstown Public Library,http://www.beardstownil.org/,IL,40.349457,-88.986137,,
Bedford Park Public Library District,http://bplib.net/,IL,40.349457,-88.986137,,
Beecher Community Library District,http://www.villageofbeecher.org/library/,IL,40.349457,-88.986137,,
Belleville Public Library - Illinois,http://www.bellevillelibrary.com/,IL,40.349457,-88.986137,,
Bellwood Public Library,http://www.bellwoodlibrary.org/,IL,40.349457,-88.986137,,
Bement Public Library District,http://www.bementpubliclibrary.org/,IL,40.349457,-88.986137,,
Bensenville Community Public Library,http://www.bensenville.lib.il.us/,IL,40.349457,-88.986137,,
Benton Public Library,http://www.benton.lib.il.us/,IL,40.349457,-88.986137,,
Berkeley Public Library,http://www.berkeleypubliclibrary.org/,IL,40.349457,-88.986137,,
Berwyn Public Library,http://www.berwynlibrary.org/,IL,40.349457,-88.986137,,
Bethalto Public Library District,http://bethaltolibrary.org/,IL,40.349457,-88.986137,,
Bloomingdale Public Library,http://www.mybpl.org/bpl/,IL,40.349457,-88.986137,,
Bloomington Library,http://blpl.ent.sirsi.net/client/default,IL,40.349457,-88.986137,,
Blue Island Public Library,http://www.blueislandlibrary.org/,IL,40.349457,-88.986137,,
Blue Ridge Township Public Library,http://www.mansfield.lib.il.us/,IL,40.349457,-88.986137,,
Bourbonnais Public Library District,http://bourbonnaislibrary.org/,IL,40.349457,-88.986137,,
Bradford Anderson Oglesby Public Library,http://www.markhamlibrary.org/,IL,40.349457,-88.986137,,
Bradley Public Library District,http://www.bradleylibrary.org/,IL,40.349457,-88.986137,,
Bridgeview Public Library,http://www.bridgeviewlibrary.org/bridgeview/,IL,40.349457,-88.986137,,
Broadview Public Library District,http://www.broadviewlibrary.org/,IL,40.349457,-88.986137,,
Brookfield Free Public Library,http://brookfieldlibrary.info/,IL,40.349457,-88.986137,,
Bryan-Bennett Library,http://www.salembbl.lib.il.us/,IL,40.349457,-88.986137,,
Bunker Hill Public Library,http://www.bhil.com/~bhlibrary/,IL,40.349457,-88.986137,,
Bushnell Public Library District,http://www.bushnell.lib.il.us/,IL,40.349457,-88.986137,,
Byron Public Library District,http://www.byron.lib.il.us/,IL,40.349457,-88.986137,,
C.E. Brehm Memorial Public Library District,http://www.mtvbrehm.lib.il.us/,IL,40.349457,-88.986137,,
Cahokia Public Library District,http://www.cahokialibrary.org/,IL,40.349457,-88.986137,,
Calumet City Public Library,http://www.calumetcitypl.org/,IL,40.349457,-88.986137,,
Camargo Township District Library,http://www.camargotownship.lib.il.us/,IL,40.349457,-88.986137,,
Camp Point Public Library,http://www.camppointpubliclibrary.com/,IL,40.349457,-88.986137,,
Carbondale Public Library,http://www.carbondale.lib.il.us/,IL,40.349457,-88.986137,,
Carlinville Public Library,http://carlinvillelibrary.org/,IL,40.349457,-88.986137,,
Carol Stream Public Library,http://www.cslibrary.org/,IL,40.349457,-88.986137,,
Carrollton Public Library - Illinois,http://c-hawks.org/library/libabout.html,IL,40.349457,-88.986137,,
Carthage Public Library District,http://www.carthage.lib.il.us/,IL,40.349457,-88.986137,,
Cary Area Public Library,http://www.cary.lib.il.us/,IL,40.349457,-88.986137,,
Casey Township Library,http://www.caseytownship.lib.il.us/,IL,40.349457,-88.986137,,
Catlin Public Library District,http://www.lincolntrail.info/cnn.html,ILAda Community Library,40.349457,-88.986137,,
American Falls District Library,http://amfalls.lili.org/,Idaho,44.240459,-114.478828,,
Boise Public Library,http://www.boisepubliclibrary.org/default.shtml,Idaho,44.240459,-114.478828,,
Challis Public Library,http://challis.lili.org/,Idaho,44.240459,-114.478828,,
Coeur d'Alene Public Library,http://www.cdalibrary.org/,Idaho,44.240459,-114.478828,,
Eagle Public Library,http://www.eaglepubliclibrary.org/,Idaho,44.240459,-114.478828,,
East Bonner County Library District,http://www.ebcl.lib.id.us/,Idaho,44.240459,-114.478828,,
Garden City Public Library,http://notaquietlibrary.org/,Idaho,44.240459,-114.478828,,
Idaho Falls Public Library,http://www.ifpl.org/,Idaho,44.240459,-114.478828,,
Jerome Public Library,http://www.ci.jerome.id.us/city-government/library.html,Idaho,44.240459,-114.478828,,
Kootenai-Shoshone Area Libraries,http://www.communitylibrary.net/drupal6/,Idaho,44.240459,-114.478828,,
Latah County Library,http://www.latahlibrary.org/,Idaho,44.240459,-114.478828,,
Lewiston City Library,http://www.lewistonlibrary.org/,Idaho,44.240459,-114.478828,,
Madison Library District,http://www.madisonlib.org/,Idaho,44.240459,-114.478828,,
Marshall Public Library,http://www.marshallpl.org/,Idaho,44.240459,-114.478828,,
Meridian Library District,http://www.mld.org/,Idaho,44.240459,-114.478828,,
Nampa Public Library,http://www.nampalibrary.org/,Idaho,44.240459,-114.478828,,
Notus Public Library,http://notus.lili.org/,Idaho,44.240459,-114.478828,,
Prairie River Library District,http://prairieriver.lili.org/,Idaho,44.240459,-114.478828,,
Soda Springs Public Library,http://soda.lili.org/,Idaho,44.240459,-114.478828,,
Stanley Community Public Library District,http://www.ruralnetwork.net/~stanlib/index.html,Idaho,44.240459,-114.478828,,
The Community Library,http://www.thecommunitylibrary.org/,Idaho,44.240459,-114.478828,,
Twin Falls Public Library,http://www.twinfallspubliclibrary.org/,Idaho,44.240459,-114.478828,,
