State,,,Number,Staffed,Total,Patient,Gross Patient,,,,
,Lat,Lon,Hospitals,Beds,Discharges,Days,Revenue ($000),,,,
AK - Alaska,32.806671,-86.79113,10,"1,191","44,941","237,136","$4,725,931",,,,
AL - Alabama,61.370716,-152.404419,92,"15,802","583,129","2,836,603","$55,198,690",,,,
AR - Arkansas,33.729759,-111.431221,51,"7,928","319,816","1,399,430","$24,525,928",,,,
AS - American Samoa,34.969704,-92.373123,1,0,0,0,$0,,,,
AZ - Arizona,36.116203,-119.681564,70,"13,497","607,593","2,629,238","$69,698,670",,,,
CA - California,39.059811,-105.311104,342,"74,620","3,101,190","14,331,623","$389,419,285",,,,
CO - Colorado,41.597782,-72.755371,54,"8,402","394,425","1,734,749","$56,052,656",,,,
CT - Connecticut,39.318523,-75.507141,34,"9,177","367,934","1,700,057","$36,209,278",,,,
DC - Washington D.C.,38.897438,-77.026817,8,"2,607","103,889","611,140","$11,558,910",,,,
DE - Delaware,27.766279,-81.686783,8,"2,044","91,988","452,946","$6,781,571",,,,
FL - Florida,33.040619,-83.643074,217,"55,258","2,495,322","11,887,717","$287,926,446",,,,
GA - Georgia,21.094318,-157.498337,113,"21,995","930,498","4,546,691","$92,221,297",,,,
GU - Guam,44.240459,-114.478828,3,265,"9,281","54,521","$289,767",,,,
HI - Hawaii,40.349457,-88.986137,14,"2,522","91,932","535,470","$7,064,950",,,,
IA - Iowa,39.849426,-86.258278,40,"6,295","269,589","1,186,545","$21,910,376",,,,
ID - Idaho,42.011539,-93.210526,16,"2,423","116,622","467,546","$10,632,311",,,,
IL - Illinois,38.5266,-96.726486,143,"30,803","1,262,949","5,710,106","$136,315,632",,,,
IN - Indiana,37.66814,-84.670067,97,"15,844","668,479","3,035,578","$72,147,926",,,,
KS - Kansas,31.169546,-91.867805,58,"6,343","271,959","1,164,797","$29,673,164",,,,
KY - Kentucky,44.693947,-69.381927,75,"13,942","542,090","2,588,052","$52,820,040",,,,
LA - Louisiana,39.063946,-76.802101,105,"14,458","501,437","2,376,697","$49,745,328",,,,
MA - Massachusetts,42.230171,-71.530106,74,"15,116","737,846","3,525,471","$61,723,547",,,,
MD - Maryland,43.326618,-84.536095,52,"10,940","574,338","2,886,034","$18,387,020",,,,
ME - Maine,45.694454,-93.900192,18,"2,944","113,100","526,246","$10,031,128",,,,
MI - Michigan,32.741646,-89.678696,105,"23,791","1,089,834","4,868,204","$86,328,828",,,,
MN - Minnesota,38.456085,-92.288368,55,"10,722","500,416","2,162,143","$41,068,400",,,,
MO - Missouri,46.921925,-110.454353,85,"16,857","672,795","3,200,408","$67,145,028",,,,
MP - Northern Mariana Islands,41.12537,-98.268082,1,74,"4,403","16,375",$0,,,,
MS - Mississippi,38.313515,-117.055374,70,"10,551","327,193","1,498,189","$33,052,075",,,,
MT - Montana,43.452492,-71.563896,16,"2,180","76,542","337,729","$6,560,937",,,,
NC - North Carolina,40.298904,-74.521011,109,"22,230","966,549","4,674,922","$91,398,474",,,,
ND - North Dakota,34.840515,-106.248482,10,"2,011","76,458","353,482","$7,427,664",,,,
NE - Nebraska,42.165726,-74.948051,27,"4,275","179,868","817,691","$14,202,493",,,,
NH - New Hampshire,35.630066,-79.806419,14,"2,214","103,895","489,010","$11,542,548",,,,
NJ - New Jersey,47.528912,-99.784012,74,"20,317","890,754","4,317,581","$114,256,317",,,,
NM - New Mexico,40.388783,-82.764915,37,"4,097","167,183","762,680","$16,160,386",,,,
NV - Nevada,35.565342,-96.928917,25,"5,550","278,527","1,385,604","$38,159,093",,,,
NY - New York,44.572021,-122.070938,190,"56,726","2,181,810","11,722,861","$221,836,949",,,,
OH - Ohio,40.590752,-77.209755,147,"27,835","1,237,858","5,532,951","$134,577,071",,,,
OK - Oklahoma,41.680893,-71.51178,93,"10,737","397,942","1,837,187","$40,855,642",,,,
OR - Oregon,33.856892,-80.945007,37,"6,146","322,162","1,415,632","$24,914,408",,,,
PA - Pennsylvania,44.299782,-99.438828,178,"35,655","1,485,605","6,903,740","$186,642,608",,,,
PR - Puerto Rico,35.747845,-86.692345,53,"8,484","337,745","1,966,878","$4,856,317",,,,
RI - Rhode Island,31.054487,-97.563461,11,"2,438","107,009","496,175","$9,413,919",,,,
SC - South Carolina,40.150032,-111.862434,63,"11,756","472,450","2,317,879","$52,970,468",,,,
SD - South Dakota,44.045876,-72.710686,25,"2,800","93,480","396,836","$10,223,027",,,,
TN - Tennessee,37.769337,-78.169968,107,"19,277","807,212","3,768,098","$78,599,129",,,,
TX - Texas,47.400902,-121.490494,367,"59,202","2,550,966","11,994,873","$287,532,572",,,,
UT - Utah,38.491226,-80.954453,36,"4,649","209,059","835,839","$17,278,005",,,,
VA - Virginia,44.268543,-89.616508,90,"17,740","721,035","3,445,441","$72,955,598",,,,
VI - Virgin Islands,42.755966,-107.30249,2,219,"7,066","42,098","$310,145",,,,
VT - Vermont,,,7,828,"37,398","186,443","$4,207,068",,,,
WA - Washington,,,64,"10,169","530,842","2,448,749","$57,933,556",,,,
WI - Wisconsin,,,77,"11,116","486,364","2,156,990","$50,001,973",,,,
WV - West Virginia,,,36,"6,155","214,946","1,041,331","$16,679,100",,,,
WY - Wyoming,,,14,"1,218","33,042","120,130","$2,761,991",,,,
T O T A L,,,"3,920","752,435","31,768,755","149,938,542","$3,306,911,640",,,,
