"id","address","city","latitude","longitude","ff_id","name","province","state_id"
1,"324 Main St","Massena",44.9213,-74.89021,1,"McDonald's","NY",33
2,"530 Clinton Ave","Washington Court House",39.53255,-83.44526,2,"Wendy's","OH",36
3,"408 Market Square Dr","Maysville",38.62736,-83.79141,3,"Frisch's Big Boy","KY",18
4,"6098 State Highway 37","Massena",44.95008,-74.84553,4,"McDonald's","NY",33
5,"139 Columbus Rd","Athens",39.35155,-82.09728,5,"OMG! Rotisserie","OH",36
6,"4182 Tonya Trl","Hamilton",39.4176,-84.47641,6,"Domino's Pizza","OH",36
7,"590 S Main St","Englewood",39.86969,-84.29358,7,"Domino's Pizza","OH",36
8,"401 N Jennings St","Saluda",34.00598,-81.7704,8,"McDonald's","SC",41
9,"205 W Church St","Batesburg",33.91335,-81.5333,9,"Wendy's","SC",41
10,"2711 W. Kings Highway Ste. 18","Paragould",36.06107,-90.52325,10,"Pizza Hut","AR",4
11,"613 W Center St","Sheridan",34.30687,-92.40784,11,"SONIC Drive In","AR",4
12,"512 Highway 425 S Lot B","Monticello",33.61937,-91.80232,12,"Domino's Pizza","AR",4
13,"1535 NW 50th St","Oklahoma City",35.52234,-97.5382,13,"McDonald's","OK",37
14,"125 Towne Center Dr","Lexington",38.06753,-84.53043,14,"Domino's Pizza","KY",18
15,"66 14th St.","Tell City",37.941032,-86.762115,15,"Long John Silver's","IN",15
16,"301 University Blvd","Louisville",38.21999,-85.764824,16,"McDonald's","KY",18
17,"5812 NW Expressway","Oklahoma City",35.54815,-97.61717,17,"McDonald's","OK",37
18,"101 Thomas Garst Ln","Leland",34.23389,-77.99544,18,"Taco Bell","NC",34
19,"1111 New Pointe Blvd","Leland",34.21188,-78.02454,19,"McDonald's","NC",34
20,"782 Old Hickory Blvd Ste 120","Brentwood",36.04222,-86.77995,20,"Qdoba Mexican Grill","TN",43
21,"108 Village Rd NE","Leland",34.234477,-78.000649,21,"McDonald's","NC",34
22,"1116 Old Highway 60","Hardinsburg",37.792641,-86.492762,22,"McDonald's","KY",18
23,"1423 Southwest Pkwy","Wichita Falls",33.85371,-98.50065,23,"McDonald's","TX",44
24,"908 Padre Blvd","South Padre Island",26.09105,-97.1643,24,"McDonald's","TX",44
25,"1131n N Main St","Miami",36.88826,-94.87766,25,"McDonald's","OK",37
26,"3401 Hwy 165 North","Pineville",31.3626,-92.41343,26,"Pizza Hut","LA",19
27,"1631 E Madison Ave","Bastrop",32.77992,-91.89477,27,"Sonic Drive-In","LA",19
28,"301 S Lynn Riggs Blvd","Claremore",36.31069,-95.61759,28,"Domino's Pizza","OK",37
29,"601 E Lincolnway","Minerva",40.732,-81.09812,29,"McDonald's","OH",36
30,"3211 S 4th St","Leavenworth",39.28532,-94.90441,30,"SONIC Drive In","KS",17
31,"105 Business Loop W","Jamestown",46.898997,-98.707788,31,"Taco Bell","ND",35
32,"1531 University Dr S","Fargo",46.85659,-96.79863,32,"Domino's Pizza","ND",35
33,"718 10th St SE","Jamestown",46.89896,-98.6984,33,"Taco John's","ND",35
34,"1400 24th Ave SW","Minot",48.20858,-101.3128,34,"McDonald's","ND",35
35,"703 S Magnolia St","Woodville",30.76846,-94.41477,35,"Whataburger","TX",44
36,"1535 S Broadway","Minot",48.219459,-101.296022,36,"Pizza Hut","ND",35
37,"775 S Main St","Smithfield",41.82069,-111.83318,37,"Domino's Pizza","UT",45
38,"218 W Main St","Ada",34.77482,-96.68126,38,"Hamburger King","OK",37
39,"3208 S Elm Pl","Broken Arrow",36.01948,-95.79756,39,"SONIC Drive In","OK",37
40,"3056 Classen Blvd Unit A","Norman",35.18173,-97.41709,40,"Domino's Pizza","OK",37
41,"982 Macon St","Warner Robins",32.59495,-83.58338,41,"Burger King","GA",11
42,"6060 San Mateo Blvd NE","Albuquerque",35.144456,-106.585927,42,"Burger King","NM",32
43,"8401 Gateway Blvd W Ste M4","El Paso",31.77465,-106.38071,43,"McDonalds","TX",44
44,"450 N Harrison Ave","Shawnee",35.33252,-96.91222,44,"SONIC Drive In","OK",37
45,"9455 SW Barbur Blvd","Portland",45.457027,-122.713696,45,"Taco Time","OR",38
46,"351 River Hill Dr","Ashland",38.48554,-82.658096,46,"McDonald's","KY",18
47,"18000 Bagley Rd","Cleveland",41.373042,-81.826072,47,"Burger King","OH",36
48,"3700 N 1st Ave","Evansville",38.01322,-87.57549,48,"McDonald's","IN",15
49,"895 N Highway 77 Ste 300","Waxahachie",32.41269,-96.84213,49,"Jimmy John's","TX",44
50,"819 SW 19th St","Oklahoma City",35.32026,-97.50536,50,"Domino's Pizza","OK",37
51,"95-1249 Meheula Parkway,","Mililani",21.45311,-158.01738,51,"Jersey Mike's Subs","HI",12
52,"1625 Veterans Pkwy","Jeffersonville",38.32967,-85.74938,52,"Popeyes Louisiana Kitchen","IN",15
53,"2730 S Hurstbourne Pkwy Suite 100","Louisville",38.21234,-85.59548,53,"Qdoba Mexican Grill","KY",18
54,"5680 Commercial St SE Ste 100","Salem",44.87205,-123.02243,54,"Domino's Pizza","OR",38
55,"2870 W Loop 1604 S","San Antonio",29.4033,-98.70619,55,"Whataburger","TX",44
56,"1321 Herr Ln Ste 150","Louisville",38.26897,-85.61074,56,"Qdoba Mexican Grill","KY",18
57,"100 Northside Dr","Bennington",42.89413,-73.20316,57,"Taco Bell","VT",46
58,"6611 S Mo Pac Expy Ste B","Austin",30.22023,-97.83528,58,"Whataburger","TX",44
59,"9300 S Interstate 35 Bldg H","Austin",30.16525,-97.78887,59,"Whataburger","TX",44
60,"315 N Stephenson Ave","Iron Mountain",45.825755,-88.063121,60,"Hardee's","MI",23
61,"2439 Springs Rd NE","Hickory",35.75332,-81.28572,61,"McDonald's","NC",34
62,"9651 Natural Bridge Rd","Saint Louis",38.72914,-90.34394,62,"Rally's","MO",26
63,"1665 Dove Park Rd Ste 300","Mandeville",30.41178,-90.04186,63,"Quiznos","LA",19
64,"225 Grant Ave","Auburn",42.94987,-76.54722,64,"Burger King","NY",33
65,"5400 FM 1640 Rd Ste 500","Richmond",29.55941,-95.76008,65,"Whataburger","TX",44
66,"2448 University Ave","Green Bay",44.51312,-87.96051,66,"Domino's Pizza","WI",50
67,"111 Commons Dr","Maumelle",34.84808,-92.40624,67,"SONIC Drive In","AR",4
68,"344 S Service Rd E","Sullivan",38.22303,-91.15696,68,"Taco Bell","MO",26
69,"6490 Memphis Arlington Rd Ste 103","Memphis",35.22655,-89.84786,69,"Domino's Pizza","TN",43
70,"2124 S 1st St","Yakima",46.57144,-120.48825,70,"Taco Bell","WA",48
71,"482 Branson Landing Blvd Ste 105","Branson",36.65075,-93.22026,71,"Jimmy John's","MO",26
72,"406 S Thompson St","Springdale",36.182436,-94.138658,72,"Taco Bell","AR",4
73,"5094 Murfreesboro Rd Ste 1","La Vergne",36.02074,-86.5812,73,"Domino's Pizza","TN",43
74,"801 S Vaughn Dr","Brusly",30.387691,-91.25265,74,"McDonald's","LA",19
75,"5100 NC Highway 87 S Ste 102","Fayetteville",34.9297,-78.85668,75,"Domino's Pizza","NC",34
76,"Co-Op City","Bronx",40.8691,-73.8248,76,"Burger King","NY",33
77,"3898 Cleveland Hwy","Dalton",34.89383,-84.94654,77,"McDonalds","GA",11
78,"1865 Blankenship Rd","West Linn",45.349698,-122.653281,78,"Jack in the Box","OR",38
79,"825 W 1100 S","Brigham City",41.48602,-112.02944,79,"Sonic Drive-In","UT",45
80,"955 S Main St","Brigham City",41.49113,-112.01555,80,"Taco Bell","UT",45
81,"875 W 1150 S","Brigham City",41.48561,-112.02934,81,"Subway","UT",45
82,"524 Indian Boundary Rd","Chesterton",41.6165,-87.0439,82,"Jimmy John's","IN",15
83,"801 University St","Martin",36.3485,-88.87344,83,"McDonald's","TN",43
84,"2505 State Rd","La Crosse",43.79609,-91.21769,84,"Hardee's","WI",50
85,"1610 Sycamore View Rd","Memphis",35.1694,-89.86479,85,"McDonald's","TN",43
86,"2437 George St","La Crosse",43.85742,-91.23993,86,"McDonald's","WI",50
87,"813 N Central Ave","Marshfield",44.674233,-90.168369,87,"Taco John's","WI",50
88,"1101 N Central Ave","Marshfield",44.67742,-90.16521,88,"McDonald's","WI",50
89,"4601 Northfield Rd","Cleveland",41.433314,-81.523935,89,"Mr Hero","OH",36
90,"1601 W Lincoln Ave","Yakima",46.6039,-120.53093,90,"McDonald's","WA",48
91,"5706 W 7800 S","West Jordan",40.60985,-112.0266,91,"McDonald's","UT",45
92,"1014 Highway 82 E","Indianola",33.45785,-90.63563,92,"Taco Bell","MS",25
93,"640 Huebner Rd","Fort Riley",39.0644,-96.79881,93,"Domino's Pizza","KS",17
94,"1418 W Sunset Blvd","Saint George",37.122977,-113.613499,94,"Taco Bell","UT",45
95,"610 E Saint George Blvd","Saint George",37.109869,-113.570286,95,"Taco Bell","UT",45
96,"4651 W 6th St","Lawrence",38.971514,-95.301449,96,"Pizza Hut","KS",17
97,"5540 Old Cheney Rd","Lincoln",40.75546,-96.64543,97,"Amigos/Kings Classic","NE",28
98,"7501 W 135th St","Overland Park",38.88353,-94.672,98,"Raising Cane's Chicken Fingers","KS",17
99,"4204 Milan Rd","Sandusky",41.41841,-82.67352,99,"McDonalds","OH",36
100,"6300 Gulf Fwy","La Marque",29.3676,-94.97416,100,"Whataburger","TX",44
101,"1302 Highway 35 N","Rockport",28.036688,-97.04238,101,"McDonald's","TX",44
102,"3515 Springdale Rd","Cincinnati",39.25009,-84.59411,102,"Domino's Pizza","OH",36
103,"7720 Laurel Ave","Cincinnati",39.18985,-84.36207,103,"Domino's Pizza","OH",36
104,"123 Creekside Xing","New Braunfels",29.7279,-98.07612,104,"Whataburger","TX",44
105,"793 Roosevelt Trl","Windham",43.83887,-70.44217,105,"Burger King","ME",20
106,"14700 E Indiana Ave","Spokane",47.673976,-117.206394,106,"Taco Time","WA",48
107,"201 Commerce Dr","Jefferson City",38.59259,-92.2254,107,"SONIC Drive In","MO",26
108,"3124 S Ten Mile Dr","Jefferson City",38.58068,-92.2352,108,"McDonald's","MO",26
109,"1417 Jackson Ave W","Oxford",34.36729,-89.54978,109,"Coop DeVille","MS",25
110,"2984 Upland Pkwy","Sidney",41.138,-102.98557,110,"McDonalds","NE",28
111,"1002 J St","Auburn",40.39457,-95.83913,111,"Amigos/Kings Classic","NE",28
112,"191 7th St","Garden City",40.725253,-73.634393,112,"B. Good","NY",33
113,"544 Conestoga Pkwy","Shepherdsville",37.9978,-85.70737,113,"Domino's Pizza","KY",18
114,"101 Smith Rd","Glasgow",37.0082,-85.92208,114,"McDonald's","KY",18
115,"5212 Jackson St","Alexandria",31.27267,-92.48395,115,"Sonic Drive-In","LA",19
116,"131 S Highway 27","Somerset",37.09224,-84.61883,116,"McDonald's","KY",18
117,"1511 C Goff Blvd S W Plaza Rio Shpg Ctr","Albuquerque",35.085335,-106.60555,117,"Domino's Pizza","NM",32
118,"4800 Frederica St","Owensboro",37.723743,-87.123894,118,"McDonald's","KY",18
119,"300 W Esplanade Ave","Kenner",30.02306,-90.26933,119,"Burger King","LA",19
120,"5963 W Main St","Houma",29.63346,-90.75858,120,"Sonic Drive-In","LA",19
121,"7849 Tramway Blvd NE Ste D","Albuquerque",35.17351,-106.49703,121,"Domino's Pizza","NM",32
122,"400 Clifty Dr","Madison",38.77544,-85.39367,122,"Rally's","IN",15
123,"1228 Saint Charles St","Houma",29.58875,-90.74346,123,"Taco Bell","LA",19
124,"725 Sterlington Hwy","Farmerville",32.7715,-92.39699,124,"Taco Bell","LA",19
125,"1088 Westbank Expy","Westwego",29.89708,-90.14081,125,"Pizza Hut","LA",19
126,"1000 Government St","Baton Rouge",30.44345,-91.17915,126,"Sonic Drive-In","LA",19
127,"314 E Carpenter St","Cleveland",33.75489,-90.71678,127,"Back Yard Burgers","MS",25
128,"120 S Davis Ave","Cleveland",33.74364,-90.71593,128,"McDonald's","MS",25
129,"1231 Holcomb Blvd","Camp Lejeune",34.72418,-77.34444,129,"Wendy's","NC",34
130,"112 E 2nd St","Duluth",46.78937,-92.09841,130,"Domino's Pizza","MN",24
131,"976 William H Wilson Ave Ste 100","Fort Stewart",31.8613,-81.61078,131,"Burger King","GA",11
132,"2910 Lurleen B Wallace Blvd","Northport",33.236442,-87.576869,132,"Sonic Drive-In","AL",1
133,"2441 James St","Coralville",41.68432,-91.60353,133,"Domino's Pizza","IA",16
134,"602 Highway 31 SW","Hartselle",34.439438,-86.940455,134,"Taco Bell","AL",1
135,"107 Jordan Plz","Elizabeth City",36.29457,-76.23925,135,"Domino's Pizza","NC",34
136,"905 W Corbett Ave","Swansboro",34.69765,-77.14086,136,"McDonalds","NC",34
137,"2001 Sutton Ln","Sutton",38.70084,-80.664158,137,"Arby's","WV",49
138,"161 Church St","Burlington",44.47568,-73.21264,138,"Pacific Rim","VT",46
139,"3716 7th St","Bay City",28.9826,-95.94636,139,"Taco Bell","TX",44
140,"443 Killian Rd","Columbia",34.13885,-80.95378,140,"Panda Express","SC",41
141,"122 Hayward Ave","Ames",42.02193,-93.65164,141,"Domino's Pizza","IA",16
142,"1306 Scotland Crossing Dr","Laurinburg",34.760626,-79.487148,142,"Taco Bell","NC",34
143,"1700 Norman Dr Spc 1056","Valdosta",30.84377,-83.32041,143,"Chick-fil-A","GA",11
144,"502 W Columbia Ave","Batesburg",33.903931,-81.545787,144,"Hardee's","SC",41
145,"4965 Centre Pointe Dr","North Charleston",32.87129,-80.02056,145,"Domino's Pizza","SC",41
146,"2441 Northgate St","Ottumwa",41.04905,-92.41165,146,"McDonald's","IA",16
147,"903 E Milam St","Mexia",31.68468,-96.47389,147,"McDonald's","TX",44
148,"5131 Government St","Baton Rouge",30.44529,-91.13715,148,"Captain D's","LA",19
149,"4021 Interstate Highway 69 Access Rd","Corpus Christi",27.85699,-97.63067,149,"Whataburger","TX",44
150,"839 E Mulberry St","Angleton",29.165887,-95.422475,150,"Jack in the Box","TX",44
151,"3900 University Pkwy","Natchitoches",31.75324,-93.10647,151,"Sonic Drive-In","LA",19
152,"1855 Main Ave N","Tillamook",45.486681,-123.845556,152,"McDonald's","OR",38
153,"400 Downs Blvd Ste 100","Franklin",35.90875,-86.88409,153,"Domino's Pizza","TN",43
154,"808 E Liberty St","Mexico",39.16989,-91.87478,154,"SONIC Drive In","MO",26
155,"701 E Main St","Park Hills",37.84401,-90.50351,155,"SONIC Drive In","MO",26
156,"3039 W Peoria Ave","Phoenix",33.581838,-112.124385,156,"Samurai Sam's","AZ",3
157,"324 W Bypass","Andalusia",31.30789,-86.4999,157,"Arby's","AL",1
158,"1411 Q St","Lincoln",40.814503,-96.700905,158,"Amigos/Kings Classic","NE",28
159,"525 W Crawford St","Clay Center",39.37906,-97.14248,159,"SONIC Drive In","KS",17
160,"5802 S Broadway Ave","Tyler",32.28572,-95.30372,160,"McDonald's","TX",44
161,"3112 N Navarro St","Victoria",28.82378,-97.000727,161,"McDonald's","TX",44
162,"2 N Mineral St","Keyser",39.44023,-78.97744,162,"Subway","WV",49
163,"1845 Fry Rd","Katy",29.79332,-95.71956,163,"McDonald's","TX",44
164,"100 W Loop 340","Woodway",31.51211,-97.18724,164,"Whataburger","TX",44
165,"104 E Grant St","Roma",26.40269,-99.01235,165,"McDonald's","TX",44
166,"441 Craig St","Buffalo",31.45096,-96.07826,166,"McDonalds","TX",44
167,"2111 Ave F NW US 287","Childress",34.43504,-100.22784,167,"McDonald's","TX",44
168,"1005 S 14th St","Kingsville",27.50749,-97.85649,168,"Taco Bell","TX",44
169,"4622 S Fort Hood St","Killeen",31.07809,-97.75698,169,"McDonald's","TX",44
170,"404 N Wood St","Gilmer",32.73227,-94.94278,170,"Taco Bell","TX",44
171,"7104 S Fry Rd","Katy",29.71927,-95.78177,171,"McDonald's","TX",44
172,"1265 S Wheeler St","Jasper",30.91192,-93.99569,172,"McDonald's","TX",44
173,"307 E Wise St","Bowie",33.557809,-97.846268,173,"McDonald's","TX",44
174,"705 N McCoy Blvd","New Boston",33.4717,-94.4091,174,"Taco Bell","TX",44
175,"821 S Sam Houston Blvd","San Benito",26.12559,-97.63723,175,"McDonald's","TX",44
176,"2652 S Nc 127 Hwy","Hickory",35.69172,-81.35675,176,"Domino's Pizza","NC",34
177,"1696 N Center St","Lonoke",34.79816,-91.89096,177,"SONIC Drive In","AR",4
178,"651 Terry Pkwy Ste 101","Gretna",29.90228,-90.03,178,"Domino's Pizza","LA",19
179,"1449 Papillion Dr","Papillion",41.141563,-96.01308,179,"Domino's Pizza","NE",28
180,"323 N 114th St","Omaha",41.2606,-96.09081,180,"Domino's Pizza","NE",28
181,"102 Pavilion Pkwy","Newport",39.09245,-84.4806,181,"Domino's Pizza","KY",18
182,"998 Nc Highway 150 W A","Greensboro",36.20043,-79.84375,182,"Domino's Pizza","NC",34
183,"1518 N Ed Carey Dr","Harlingen",26.17221,-97.67362,183,"Taco Bell","TX",44
184,"1501 7th St","Las Vegas",35.60569,-105.22363,184,"McDonald's","NM",32
185,"1130 Burlington St","Holdrege",40.42485,-99.3797,185,"Sonic Drive-In","NE",28
186,"1630 S Broadway","Minot",48.21665,-101.29666,186,"Taco Bell","ND",35
187,"801 Dakota Ave","Wahpeton",46.26365,-96.61158,187,"Taco John's","ND",35
188,"223 N Josephine Ave","Madison",44.006216,-97.118242,188,"Taco John's","SD",42
189,"327 S Canal St","Carlsbad",32.41713,-104.2292,189,"McDonalds","NM",32
190,"2005 E Madison Ave","Bastrop",32.77873,-91.8896,190,"McDonald's","LA",19
191,"2000 N Date St","Truth Or Consequences",33.15244,-107.24684,191,"Sonic Drive-In","NM",32
192,"320 NW 2nd St","Madison",44.007172,-97.115957,192,"McDonald's","SD",42
193,"681 W Bridge St","Owatonna",44.084414,-93.241752,193,"Taco Bell","MN",24
194,"2121 E Grand Ave","Laramie",41.30959,-105.56668,194,"Taco Bell","WY",51
195,"1401 Mill St","Belle Fourche",44.66263,-103.85504,195,"Taco John's","SD",42
196,"1650 E Bert Kouns Industrial Loop","Shreveport",32.4316,-93.71381,196,"Whataburger","LA",19
197,"600 N Grand Ave","Tahlequah",35.9196,-94.96673,197,"Northeastern State University","OK",37
198,"507 MacArthur Dr","Alexandria",31.29621,-92.478,198,"McDonald's","LA",19
199,"245 High St","Ellsworth",44.5325,-68.408,199,"Taco Bell","ME",20
200,"259 High St","Ellsworth",44.53099,-68.40688,200,"McDonald's","ME",20
201,"6001 San Mateo Blvd Ne Ste G1","Albuquerque",35.14515,-106.58797,201,"Pizza Hut","NM",32
202,"304 Keyser Ave","Natchitoches",31.75412,-93.08107,202,"McDonald's","LA",19
203,"192 Water St","Gardiner",44.22938,-69.77157,203,"Domino's Pizza","ME",20
204,"1306 S Thompson St","Springdale",36.17034,-94.13983,204,"SONIC Drive In","AR",4
205,"1310 E Main St","Stigler",35.25441,-95.10962,205,"McDonald's","OK",37
206,"1510 S Mississippi Ave","Atoka",34.3717,-96.13563,206,"Taco Bell","OK",37
207,"207 N Broadway St","Checotah",35.47132,-95.52156,207,"Subway","OK",37
208,"4105 Main St","Springfield",44.04537,-122.96621,208,"Domino's Pizza","OR",38
209,"499 Canal St","Brattleboro",42.83924,-72.56684,209,"Domino's Pizza","VT",46
210,"105 Blake Dr","Wagoner",35.96083,-95.39476,210,"SONIC Drive In","OK",37
211,"5704 Jackson St","Alexandria",31.26788,-92.48741,211,"Subway","LA",19
212,"603 E Main St","Endicott",42.09591,-76.05453,212,"McDonald's","NY",33
213,"1052 Sagamore Pkwy W","West Lafayette",40.45384,-86.91841,213,"Jimmy John's","IN",15
214,"363 Swanton Rd","Saint Albans",44.8396,-73.08202,214,"Taco Bell","VT",46
215,"580 Shelburne Rd Ste 11","Burlington",44.44926,-73.20896,215,"SUBWAY","VT",46
216,"2201 S Park Ave Ste 5","Alexandria",40.24008,-85.66922,216,"Pizza Hut","IN",15
217,"25 Berlin St","Montpelier",44.25664,-72.57701,217,"Domino's Pizza","VT",46
218,"313 2nd St","North Wilkesboro",36.16562,-81.13658,218,"Wendy's","NC",34
219,"127 North St","Houlton",46.13483,-67.83927,219,"Domino's Pizza","ME",20
220,"1215 2nd Ave W","Williston",48.1566,-103.6262,220,"Taco John's","ND",35
221,"7201 Two Notch Rd","Columbia",34.064617,-80.95748,221,"Sarku Japan","SC",41
222,"875 4th St SW","Mason City",43.14776,-93.21414,222,"Taco Bell","IA",16
223,"320 11th Street Sw Plz","Spencer",43.12617,-95.15025,223,"Taco Bell","IA",16
224,"120 E Jefferson St","Washington",41.29768,-91.69085,224,"Taco Bell","IA",16
225,"6694 Highway 431 S","Owens Cross Roads",34.657839,-86.483357,225,"Taco Bell","AL",1
226,"2721a Emanuel Church Rd","West Columbia",33.93912,-81.150724,226,"Pizza Hut","SC",41
227,"837 W Morton Ave","Jacksonville",39.723201,-90.240464,227,"Taco Bell","IL",14
228,"2013 US Route 20","Seneca Falls",42.9037,-76.8312,228,"Burger King","NY",33
229,"2211 W Dekalb St","Camden",34.24907,-80.64598,229,"Chick-fil-A","SC",41
230,"1400 S Higley Blvd","Rawlins",41.77618,-107.22593,230,"Subway","WY",51
231,"3 Spaulding Ave","Malone",44.84987,-74.28485,231,"Domino's Pizza","NY",33
232,"80 Clinton Plz","Clinton",40.14714,-88.97722,232,"Taco Bell","IL",14
233,"776 E Main St","Cobleskill",42.67962,-74.47452,233,"Taco Bell","NY",33
234,"1134 Paterson St","Ogdensburg",44.690205,-75.4774,234,"McDonald's","NY",33
235,"201 Maple City Dr","Monmouth",40.9107,-90.64483,235,"Taco Bell","IL",14
236,"31305 Vine St","Eastlake",41.642781,-81.468481,236,"Burger King","OH",36
237,"2118 Missouri Blvd","Jefferson City",38.58174,-92.20713,237,"Captain D's","MO",26
238,"1212 W Main St","Fairfield",38.37957,-88.37697,238,"McDonald's","IL",14
239,"2333 Missouri Blvd","Jefferson City",38.58134,-92.21398,239,"Jack in the Box","MO",26
240,"550 E Industrial Park Rd","Murphysboro",37.78839,-89.32524,240,"McDonald's","IL",14
241,"220 S Main St","Atmore",31.02181,-87.49386,241,"Burger King","AL",1
242,"1607 S State Route 127","Greenville",38.87866,-89.39077,242,"Taco Bell","IL",14
243,"51-67 E 161st St","Bronx",40.828053,-73.92529,243,"McDonald's","NY",33
244,"253 W 42nd St","New York",40.757015,-73.98944,244,"Five Guys","NY",33
245,"4461 Market Commons Dr","Fairfax",38.858362,-77.376969,245,"Pei Wei","VA",47
246,"14493 Gideon Dr","Woodbridge",38.637623,-77.297706,246,"Wendy's","VA",47
247,"2815 Fern Valley Rd","Louisville",38.1575,-85.7112,247,"Arby's","KY",18
248,"2800 Outer Loop","Louisville",38.13627,-85.71168,248,"McDonald's","KY",18
249,"6501 Paramount Park Dr","Louisville",38.156731,-85.712124,249,"Taco Bell","KY",18
250,"713 McCroskey St","Nixa",37.053586,-93.302767,250,"Arby's","MO",26
251,"3409 W Blue Ridge Dr","Greenville",34.852468,-82.451033,251,"Taco Bell","SC",41
252,"6103 White Horse Rd","Greenville",34.853023,-82.452875,252,"McDonald's","SC",41
